ID,Tópico,Perfil da Pergunta,Pergunta,Resposta Correta,Evidência na Base,Tag,Nível de Confiança
Q001,Objetivo da política,Direto ao ponto,Para que serve a política de férias?,Serve para estabelecer diretrizes e procedimentos para o processo de férias dos colaboradores.,Política estabelece diretrizes e procedimentos para férias.,ferias_objetivo,Alto
Q002,Objetivo da política,Direto ao ponto,Qual é o objetivo da política?,"O objetivo é assegurar que o processo de férias seja justo, transparente e conforme a legislação trabalhista.","Processo justo, transparente e em conformidade com legislação trabalhista.",ferias_objetivo,Alto
Q003,Objetivo da política,Coloquial ou ansioso,essa política explica como pedir férias mesmo?,Sim. Ela define orientações e procedimentos para o processo de férias dos colaboradores.,Define orientações e procedimentos para férias.,ferias_objetivo,Alto
Q004,Objetivo da política,Cenário complexo,"Se houver dúvida entre colaborador, gestor e RH sobre férias, essa política deve orientar o processo?",Sim. A política formaliza diretrizes e práticas para conduzir o processo de férias.,Formaliza diretrizes e práticas para o processo.,ferias_objetivo,Alto
Q005,Objetivo da política,Negativo ou limite,A política trata de benefícios que não sejam férias?,Essa informação não está especificada na política fornecida.,O objetivo citado trata do processo de férias.,ferias_escopo,Baixo
Q006,Objetivo da política,Busca por procedimento,Onde encontro as regras gerais do processo de férias?,Nas diretrizes e procedimentos definidos pela política de férias.,Política estabelece diretrizes e procedimentos.,ferias_procedimento,Alto
Q007,Objetivo da política,Reformulação semântica,Essa política define as regras de férias?,"Sim. Ela determina regras, orientações e procedimentos para o processo de férias.",Determina regras e procedimentos para férias.,ferias_objetivo,Alto
Q008,Público-alvo,Direto ao ponto,Quem está coberto pela política?,Colaboradores efetivos contratados pelo regime CLT e estagiários.,Público-alvo: CLT efetivos e estagiários.,ferias_publico_alvo,Alto
Q009,Público-alvo,Direto ao ponto,A política vale para CLT?,Sim. Ela vale para colaboradores efetivos contratados pelo regime CLT.,Colaboradores efetivos pelo regime CLT.,ferias_clt,Alto
Q010,Público-alvo,Coloquial ou ansioso,"sou estagiário, entro nessa regra?",Sim. Estagiários estão incluídos no público-alvo da política.,Público-alvo inclui estagiários.,estagio_publico,Alto
Q011,Público-alvo,Cenário complexo,"Sou colaborador efetivo CLT, mas não sei se a política se aplica ao meu cargo. Ela vale para mim?",Sim. A política se aplica a todos os colaboradores efetivos contratados pelo regime CLT.,Todos os colaboradores efetivos CLT.,ferias_clt,Alto
Q012,Público-alvo,Negativo ou limite,A política vale para prestador PJ?,Essa informação não está especificada na política fornecida.,A política cita apenas CLT efetivos e estagiários.,ferias_pj,Baixo
Q013,Público-alvo,Busca por responsabilidade,Quem deve seguir esta política?,Colaboradores efetivos CLT e estagiários devem seguir a política.,Público-alvo definido como CLT efetivos e estagiários.,ferias_publico_alvo,Alto
Q014,Público-alvo,Reformulação semântica,Estagiários e empregados CLT estão incluídos?,Sim. A política inclui colaboradores efetivos CLT e estagiários.,Público-alvo inclui ambos.,ferias_publico_alvo,Alto
Q015,Direito a férias,Direto ao ponto,Quantos dias de férias tenho direito?,"A cada ano completo de trabalho, o colaborador tem direito a 30 dias de férias.",Direito a 30 dias por ano completo.,ferias_direito,Alto
Q016,Direito a férias,Direto ao ponto,Férias são pagas?,Sim. As férias são remuneradas com acréscimo de 1/3 do salário.,Férias remuneradas com acréscimo de 1/3.,ferias_remuneracao,Alto
Q017,Direito a férias,Coloquial ou ansioso,"fiz 1 ano de casa, já ganho 30 dias?",Sim. A política prevê 30 dias de férias a cada ano completo de trabalho.,"A cada ano completo, 30 dias.",ferias_direito,Alto
Q018,Direito a férias,Cenário complexo,"Completei um ano de trabalho, mas ainda não programei férias. O direito já existe?",Sim. O direito a 30 dias ocorre a cada ano completo de trabalho; a programação deve seguir o processo da política.,Direito após ano completo; programação em regra própria.,ferias_direito,Alto
Q019,Direito a férias,Negativo ou limite,Tenho direito a 30 dias sem completar um ano?,Essa informação não está especificada na política fornecida. A política diz que o direito ocorre a cada ano completo de trabalho.,Direito vinculado a ano completo de trabalho.,ferias_direito,Baixo
Q020,Direito a férias,Busca por procedimento,O que acontece após completar um ano de trabalho?,"O colaborador passa a ter direito a 30 dias de férias, observando as regras de programação da política.",Ano completo gera direito a 30 dias.,ferias_direito,Alto
Q021,Direito a férias,Reformulação semântica,"Depois de 12 meses, quantos dias de descanso tenho?",A política estabelece 30 dias de férias a cada ano completo de trabalho.,30 dias a cada ano completo.,ferias_direito,Alto
Q022,Período aquisitivo,Direto ao ponto,O que é período aquisitivo?,É o período de 12 meses trabalhados de forma contínua que dá ao colaborador o direito às férias.,12 meses trabalhados de forma ininterrupta.,ferias_periodo_aquisitivo,Alto
Q023,Período aquisitivo,Direto ao ponto,Quanto dura o período aquisitivo?,Dura 12 meses trabalhados de forma contínua.,Período de 12 meses trabalhados.,ferias_periodo_aquisitivo,Alto
Q024,Período aquisitivo,Coloquial ou ansioso,tenho que trabalhar 12 meses seguidos pra ter férias?,Sim. O período aquisitivo é de 12 meses trabalhados de forma ininterrupta.,12 meses sem interrupção.,ferias_periodo_aquisitivo,Alto
Q025,Período aquisitivo,Cenário complexo,"Se meu trabalho tiver interrupção dentro dos 12 meses, ainda conta como período aquisitivo?",Essa informação não está especificada na política fornecida. Ela apenas define o período aquisitivo como 12 meses trabalhados de forma ininterrupta.,"Define 12 meses ininterruptos, sem detalhar interrupções.",ferias_periodo_aquisitivo,Baixo
Q026,Período aquisitivo,Negativo ou limite,Posso adquirir férias sem cumprir o período aquisitivo?,Não conforme a regra descrita. O direito às férias é conferido pelo período de 12 meses trabalhados de forma contínua.,Período aquisitivo confere o direito.,ferias_periodo_aquisitivo,Alto
Q027,Período aquisitivo,Busca por procedimento,Como sei quando adquiro o direito às férias?,Verificando o cumprimento do período aquisitivo de 12 meses trabalhados de forma contínua.,Ciclo de 12 meses garante o direito.,ferias_periodo_aquisitivo,Alto
Q028,Período aquisitivo,Reformulação semântica,Quando começa meu direito a férias?,Após o período aquisitivo de 12 meses trabalhados de forma contínua.,12 meses trabalhados garantem o direito.,ferias_periodo_aquisitivo,Alto
Q029,Período concessivo,Direto ao ponto,O que é período concessivo?,É o prazo de 12 meses após o período aquisitivo em que a empresa deve conceder as férias.,12 meses subsequentes ao período aquisitivo.,ferias_periodo_concessivo,Alto
Q030,Período concessivo,Direto ao ponto,Quanto tempo a empresa tem para conceder férias?,A empresa deve conceder as férias dentro dos 12 meses subsequentes ao período aquisitivo.,Prazo de 12 meses posteriores ao período aquisitivo.,ferias_periodo_concessivo,Alto
Q031,Período concessivo,Coloquial ou ansioso,"ganhei direito às férias, até quando tenho que tirar?",As férias devem ser concedidas dentro dos 12 meses seguintes ao período aquisitivo.,Período concessivo de 12 meses.,ferias_periodo_concessivo,Alto
Q032,Período concessivo,Cenário complexo,Completei o período aquisitivo. A empresa tem até quando para marcar minhas férias?,A empresa deve conceder as férias dentro dos 12 meses subsequentes ao período aquisitivo.,Prazo de 12 meses subsequentes.,ferias_periodo_concessivo,Alto
Q033,Período concessivo,Negativo ou limite,Posso deixar férias fora do período concessivo?,Não conforme a política. As férias devem ser usufruídas dentro do período concessivo para evitar férias em dobro.,Férias dentro do período concessivo para evitar pagamento em dobro.,ferias_periodo_concessivo,Alto
Q034,Período concessivo,Busca por procedimento,O que devo acompanhar depois do período aquisitivo?,"Deve-se acompanhar o período concessivo, que é o prazo de 12 meses para concessão das férias.",Período concessivo definido como 12 meses.,ferias_periodo_concessivo,Alto
Q035,Período concessivo,Reformulação semântica,Qual é o prazo depois que conquisto as férias?,O prazo é de 12 meses subsequentes ao período aquisitivo.,12 meses seguintes ao período aquisitivo.,ferias_periodo_concessivo,Alto
Q036,Perda do direito às férias,Direto ao ponto,Posso perder o direito às férias?,Sim. A política informa que algumas situações podem levar à perda do direito às férias.,Outras situações podem levar à perda do direito.,ferias_perda_direito,Alto
Q037,Perda do direito às férias,Direto ao ponto,Sair da empresa pode causar perda do direito às férias?,"Sim, se o colaborador deixar o emprego e não for readmitido dentro de 30 dias após a saída.",Deixar o emprego e não ser readmitido em 30 dias.,ferias_perda_direito,Alto
Q038,Perda do direito às férias,Coloquial ou ansioso,"se eu sair e voltar depois, perco as férias?",A política informa que deixar o emprego e não ser readmitido em até 30 dias pode levar à perda do direito às férias.,Readmissão deve ocorrer dentro de 30 dias.,ferias_readmissao,Alto
Q039,Perda do direito às férias,Cenário complexo,Saí da empresa e fui readmitido depois de 40 dias. A política preserva meu direito às férias?,Não conforme a regra descrita. A política aponta perda do direito se não houver readmissão dentro de 30 dias.,Não ser readmitido dentro de 30 dias após saída.,ferias_readmissao,Alto
Q040,Perda do direito às férias,Negativo ou limite,Posso manter o direito se for readmitido após mais de 30 dias?,Essa informação não está especificada como possibilidade. A política só informa que não ser readmitido dentro de 30 dias pode levar à perda do direito.,Regra menciona prazo de 30 dias.,ferias_readmissao,Médio
Q041,Perda do direito às férias,Busca por responsabilidade,Quem avalia perda do direito às férias?,Essa informação não está especificada na política fornecida.,"A política cita situações de perda, mas não define responsável.",ferias_perda_responsavel,Baixo
Q042,Perda do direito às férias,Reformulação semântica,Quais situações podem tirar meu direito às férias?,O novo texto cita deixar o emprego e não ser readmitido dentro de 30 dias após a saída.,Situação listada como perda do direito.,ferias_perda_direito,Alto
Q043,Programação das férias,Direto ao ponto,Com quem programo minhas férias?,O colaborador deve alinhar a programação das férias com o gestor.,Colaborador deve alinhar com o gestor.,ferias_programacao,Alto
Q044,Programação das férias,Direto ao ponto,Preciso alinhar férias antes de registrar?,Sim. A programação deve ser alinhada com o gestor.,Alinhar a programação com o gestor.,ferias_programacao,Alto
Q045,Programação das férias,Coloquial ou ansioso,tenho que combinar minhas férias com o chefe?,Sim. A política determina alinhamento da programação com o gestor.,Combinar/ajustar/acordar com o gestor.,ferias_programacao,Alto
Q046,Programação das férias,Cenário complexo,"Quero férias em um período específico, mas ainda não conversei com meu gestor. Posso registrar direto?",A política informa que o colaborador deve alinhar a programação com o gestor antes do processo de registro.,Deve alinhar com o gestor.,ferias_programacao,Alto
Q047,Programação das férias,Negativo ou limite,Posso marcar férias sem falar com o gestor?,Não conforme a política. O colaborador deve alinhar a programação das férias com o gestor.,Colaborador deve alinhar com o gestor.,ferias_programacao,Alto
Q048,Programação das férias,Busca por procedimento,Qual é o primeiro passo para solicitar férias?,Alinhar a programação das férias com o gestor.,Colaborador deve alinhar com o gestor.,ferias_programacao,Alto
Q049,Programação das férias,Reformulação semântica,"Antes de pedir férias, preciso acordar a data com alguém?",Sim. A data deve ser alinhada com o gestor.,Deve acordar a programação com o gestor.,ferias_programacao,Alto
Q050,Registro no portal RH,Direto ao ponto,Onde registro minhas férias?,"No portal do RH, após a definição da data.",Colaborador registrará suas férias no portal RH.,ferias_portal_rh,Alto
Q051,Registro no portal RH,Direto ao ponto,Quem aprova no portal RH?,O gestor imediato realiza a aprovação.,Gestor imediato realizará a aprovação.,ferias_aprovacao,Alto
Q052,Registro no portal RH,Coloquial ou ansioso,"combinei a data, agora lanço onde?","Depois de definir a data, o colaborador deve registrar as férias no portal RH.","Após definição da data, registro no portal RH.",ferias_portal_rh,Alto
Q053,Registro no portal RH,Cenário complexo,"Já defini a data com meu gestor, mas ainda não registrei no portal RH. O processo está completo?",Não. A política exige o registro das férias no portal RH e aprovação do gestor imediato.,Registro no portal RH e aprovação do gestor.,ferias_portal_rh,Alto
Q054,Registro no portal RH,Negativo ou limite,Posso sair de férias sem registrar no portal RH?,"Não conforme a política. Após a definição da data, o colaborador deve registrar as férias no portal RH.",Colaborador registrará suas férias no portal RH.,ferias_portal_rh,Alto
Q055,Registro no portal RH,Busca por procedimento,O que faço depois de combinar a data das férias?,Deve registrar as férias no portal RH para aprovação do gestor imediato.,Registro no portal e aprovação do gestor.,ferias_fluxo,Alto
Q056,Registro no portal RH,Reformulação semântica,O cadastro das férias é feito pelo colaborador?,Sim. O colaborador registra as férias no portal RH.,Colaborador cadastrará as férias no portal RH.,ferias_portal_rh,Alto
Q057,Discricionariedade da empresa,Direto ao ponto,A empresa pode definir o período das férias?,"Sim. As férias são de discricionariedade da empresa, e o gestor pode definir o melhor período.",Gestor poderá definir o melhor período.,ferias_discricionariedade,Alto
Q058,Discricionariedade da empresa,Direto ao ponto,O gestor pode escolher a data das férias?,Sim. A política informa que o gestor poderá definir o melhor período para o gozo de férias.,Gestor poderá determinar o melhor período.,ferias_gestor_periodo,Alto
Q059,Discricionariedade da empresa,Coloquial ou ansioso,meu gestor pode mudar o período que eu queria?,"A política informa que o gestor pode definir o melhor período, pois as férias são de discricionariedade da empresa.",Férias são de discricionariedade da empresa.,ferias_discricionariedade,Alto
